date,5–15 min,15–30 min,30–60 min,60–180 min,≥180 min,bucketed_total,lt_5_min,all_gaps_total
2007-01-01,4.0000,,,,0,4.0000,51.0000,55
2007-01-02,10.0000,,,,0,10.0000,259.0000,269
2007-01-03,4.0000,,,,0,4.0000,215.0000,219
2007-01-04,2.0000,,,,0,2.0000,200.0000,202
2007-01-07,4.0000,1.0000,,,0,5.0000,93.0000,98
2007-01-08,6.0000,,,,0,6.0000,264.0000,270
2007-01-09,2.0000,,,,0,2.0000,228.0000,230
2007-01-10,11.0000,,,,0,11.0000,230.0000,241
2007-01-11,5.0000,,,,0,5.0000,188.0000,193
2007-01-12,1.0000,,,,0,1.0000,115.0000,116
2007-01-14,4.0000,,,,0,4.0000,93.0000,97
2007-01-15,14.0000,1.0000,,,0,15.0000,276.0000,291
2007-01-16,7.0000,,,,0,7.0000,219.0000,226
2007-01-17,9.0000,1.0000,,,0,10.0000,230.0000,240
2007-01-18,4.0000,,,,0,4.0000,221.0000,225
2007-01-19,2.0000,,,,0,2.0000,157.0000,159
2007-01-21,13.0000,,,,0,13.0000,91.0000,104
2007-01-22,6.0000,,,,0,6.0000,301.0000,307
2007-01-23,5.0000,,,,0,5.0000,230.0000,235
2007-01-24,4.0000,,,,0,4.0000,195.0000,199
2007-01-25,6.0000,,,,0,6.0000,192.0000,198
2007-01-26,2.0000,,,,0,2.0000,123.0000,125
2007-01-28,3.0000,,,,0,3.0000,104.0000,107
2007-01-29,5.0000,,,,0,5.0000,268.0000,273
2007-01-30,11.0000,,,,0,11.0000,267.0000,278
2007-01-31,2.0000,,,,0,2.0000,214.0000,216
2007-02-01,15.0000,1.0000,,,0,16.0000,218.0000,234
2007-02-02,11.0000,,,,0,11.0000,164.0000,175
2007-02-04,3.0000,,,,0,3.0000,100.0000,103
2007-02-05,16.0000,,,,0,16.0000,243.0000,259
2007-02-06,13.0000,,,,0,13.0000,267.0000,280
2007-02-07,15.0000,,,,0,15.0000,262.0000,277
2007-02-08,6.0000,1.0000,,,0,7.0000,270.0000,277
2007-02-09,9.0000,,,,0,9.0000,158.0000,167
2007-02-11,7.0000,,,,0,7.0000,100.0000,107
2007-02-12,17.0000,,,,0,17.0000,270.0000,287
2007-02-13,20.0000,,,,0,20.0000,259.0000,279
2007-02-14,6.0000,,,,0,6.0000,231.0000,237
2007-02-15,5.0000,,,,0,5.0000,269.0000,274
2007-02-16,5.0000,,,,0,5.0000,183.0000,188
2007-02-18,6.0000,,,,0,6.0000,101.0000,107
2007-02-19,16.0000,,,,0,16.0000,345.0000,361
2007-02-20,15.0000,,,,0,15.0000,266.0000,281
2007-02-21,10.0000,,,,0,10.0000,273.0000,283
2007-02-22,13.0000,,,,0,13.0000,290.0000,303
2007-02-23,9.0000,,,,0,9.0000,165.0000,174
2007-02-25,3.0000,,,,0,3.0000,103.0000,106
2007-02-26,9.0000,,,,0,9.0000,303.0000,312
2007-02-27,1.0000,,,,0,1.0000,195.0000,196
2007-02-28,3.0000,,,,0,3.0000,206.0000,209
2007-03-01,7.0000,,,,0,7.0000,211.0000,218
2007-03-02,1.0000,,,,0,1.0000,106.0000,107
2007-03-04,1.0000,,,,0,1.0000,43.0000,44
2007-03-05,3.0000,,,,0,3.0000,184.0000,187
2007-03-06,7.0000,,,,0,7.0000,228.0000,235
2007-03-07,1.0000,,,,0,1.0000,272.0000,273
2007-03-08,6.0000,,,,0,6.0000,239.0000,245
2007-03-09,3.0000,,,,0,3.0000,199.0000,202
2007-03-11,7.0000,,,,0,7.0000,81.0000,88
2007-03-12,10.0000,,,,0,10.0000,222.0000,232
2007-03-13,5.0000,,,,0,5.0000,211.0000,216
2007-03-14,4.0000,,,,0,4.0000,216.0000,220
2007-03-15,7.0000,,,,0,7.0000,190.0000,197
2007-03-18,6.0000,,,,0,6.0000,76.0000,82
2007-03-19,6.0000,,,,0,6.0000,260.0000,266
