event_id;event;datetime_utc;country;source;period_label;impact;notes;source_url;retrieved_at_utc
US_ISM_MANUFACTURING_PMI_2015-01-02;ISM Manufacturing PMI;2015-01-02T15:00:00+00:00;US;Institute for Supply Management;2015-01;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-09T18:28Z
US_ISM_SERVICES_PMI_2015-01-06;ISM Services PMI;2015-01-06T15:00:00+00:00;US;Institute for Supply Management;2015-01;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-09T18:28Z
US_NFP_2015-01-09;Employment Situation (NFP);2015-01-09T13:30:00+00:00;US;Bureau of Labor Statistics;2015-01;high;;https://www.bls.gov/bls/news-release/empsit.htm;2025-09-09T17:55Z
US_RETAIL_SALES_ADV_2015-01-14;Retail Sales (Advance);2015-01-14T13:30:00+00:00;US;U.S. Census Bureau;2014-12;high;;https://www2.census.gov/marts/adv1412.pdf;2025-09-09T18:53Z
US_PPI_2015-01-15;Producer Price Index (PPI);2015-01-15T13:30:00+00:00;US;U.S. Bureau of Labor Statistics;2015-01;high;;https://www.bls.gov/ppi/news-release/historical-release-dates-for-the-producer-price-index.pdf;2025-09-09T18:28Z
US_CPI_2015-01-16;CPI;2015-01-16T13:30:00+00:00;US;Bureau of Labor Statistics;2014-12;high;;https://www.bls.gov/schedule/archives/all_nr_2015.htm;2025-09-09T18:53Z
EZ_ECB_INTEREST_RATE_DECISION_2015-01-22;ECB Interest Rate Decision;2015-01-22T12:45:00+00:00;EZ;ECB;2015-01;high;Monetary policy decision;https://www.ecb.europa.eu/press/pr/date/2015/html/pr150122.en.html;2025-09-11T19:09Z
EZ_ECB_PRESS_CONFERENCE_2015-01-22;ECB Press Conference;2015-01-22T13:30:00+00:00;EZ;ECB;2015-01;high;Press conference;https://www.ecb.europa.eu/press/press_conference/monetary-policy-statement/2015/html/is150122.en.html;2025-09-11T19:09Z
US_FOMC_INTEREST_RATE_DECISION_2015-01-28;FOMC Interest Rate Decision;2015-01-28T19:00:00+00:00;US;Federal Reserve;2015-01;high;;https://www.federalreserve.gov/newsevents/pressreleases/monetary20150128a.htm;2025-09-09T17:55Z
US_FOMC_STATEMENT_2015-01-28;FOMC Statement;2015-01-28T19:00:00+00:00;US;Federal Reserve;2015-01;high;;https://www.federalreserve.gov/newsevents/pressreleases/monetary20150128a.htm;2025-09-09T17:55Z
US_GDP_2015-01-30;Gross Domestic Product (GDP);2015-01-30T13:30:00+00:00;US;Bureau of Economic Analysis;2015-01;high;;https://www.bea.gov/news/2015/;2025-09-09T18:28Z
US_PCE_2015-02-02;PCE;2015-02-02T13:30:00+00:00;US;Bureau of Economic Analysis;2014-12;high;;https://www.bea.gov/news/2015/personal-income-and-outlays-december-2014;2025-09-09T18:53Z
US_ISM_MANUFACTURING_PMI_2015-02-02;ISM Manufacturing PMI;2015-02-02T15:00:00+00:00;US;Institute for Supply Management;2015-02;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-09T18:28Z
US_ISM_SERVICES_PMI_2015-02-04;ISM Services PMI;2015-02-04T15:00:00+00:00;US;Institute for Supply Management;2015-02;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-09T18:28Z
US_NFP_2015-02-06;Employment Situation (NFP);2015-02-06T13:30:00+00:00;US;Bureau of Labor Statistics;2015-02;high;;https://www.bls.gov/bls/news-release/empsit.htm;2025-09-09T17:55Z
US_RETAIL_SALES_ADV_2015-02-12;Retail Sales (Advance);2015-02-12T13:30:00+00:00;US;U.S. Census Bureau;2015-01;high;;https://www2.census.gov/marts/adv1501.pdf;2025-09-09T18:53Z
