event_id;event;datetime_utc;country;source;period_label;impact;notes;source_url;retrieved_at_utc
US_ISM_MANUFACTURING_PMI_2016-01-04;ISM Manufacturing PMI;2016-01-04T15:00:00+00:00;US;Institute for Supply Management;2016-01;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-09T19:46Z
US_ISM_SERVICES_PMI_2016-01-06;ISM Services PMI;2016-01-06T15:00:00+00:00;US;Institute for Supply Management;2016-01;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-09T19:46Z
US_NFP_2016-01-08;Employment Situation (NFP);2016-01-08T13:30:00+00:00;US;Bureau of Labor Statistics;2016-01;high;;https://www.bls.gov/bls/news-release/empsit.htm;2025-09-09T19:36Z
US_RETAIL_SALES_ADV;Advance Retail Sales (MARTS);2016-01-15T13:30:00+00:00;US;U.S. Census Bureau;2015-12;high;;https://www2.census.gov/marts/adv1512.pdf;2025-09-09T20:07Z
US_PPI_2016-01-15;Producer Price Index (PPI);2016-01-15T13:30:00+00:00;US;U.S. Bureau of Labor Statistics;2016-01;high;;https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-june-2016.pdf;2025-09-09T19:46Z
US_CPI;Consumer Price Index (CPI);2016-01-20T13:30:00+00:00;US;Bureau of Labor Statistics;2015-12;high;;https://www.bls.gov/news.release/archives/cpi_01202016.pdf;2025-09-09T20:07Z
EZ_ECB_INTEREST_RATE_DECISION_2016-01-21;ECB Interest Rate Decision;2016-01-21T12:45:00+00:00;EZ;ECB;2016-01;high;Monetary policy decision;https://www.ecb.europa.eu/press/pr/date/2016/html/pr160121.en.html;2025-09-11T19:09Z
EZ_ECB_PRESS_CONFERENCE_2016-01-21;ECB Press Conference;2016-01-21T13:30:00+00:00;EZ;ECB;2016-01;high;Press conference;https://www.ecb.europa.eu/press/press_conference/monetary-policy-statement/2016/html/is160121.en.html;2025-09-11T19:09Z
US_FOMC_INTEREST_RATE_DECISION_2016-01-27;FOMC Interest Rate Decision;2016-01-27T19:00:00+00:00;US;Federal Reserve;2016-01;high;;https://www.federalreserve.gov/newsevents/pressreleases/monetary20160127a.htm;2025-09-09T19:36Z
US_FOMC_STATEMENT_2016-01-27;FOMC Statement;2016-01-27T19:00:00+00:00;US;Federal Reserve;2016-01;high;;https://www.federalreserve.gov/newsevents/pressreleases/monetary20160127a.htm;2025-09-09T19:36Z
US_GDP_2016-01-29;Gross Domestic Product (GDP);2016-01-29T13:30:00+00:00;US;Bureau of Economic Analysis;2016-01;high;;https://www.bea.gov/news/2016/gross-domestic-product-4th-quarter-and-annual-2015-advance-estimate;2025-09-09T19:46Z
US_PCE;Personal Income & Outlays (PCE);2016-02-01T13:30:00+00:00;US;Bureau of Economic Analysis;2015-12;high;;https://www.bea.gov/news/2016/personal-income-and-outlays-december-2015;2025-09-09T20:07Z
US_ISM_MANUFACTURING_PMI_2016-02-01;ISM Manufacturing PMI;2016-02-01T15:00:00+00:00;US;Institute for Supply Management;2016-02;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-09T19:46Z
US_ISM_SERVICES_PMI_2016-02-03;ISM Services PMI;2016-02-03T15:00:00+00:00;US;Institute for Supply Management;2016-02;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-09T19:46Z
US_NFP_2016-02-05;Employment Situation (NFP);2016-02-05T13:30:00+00:00;US;Bureau of Labor Statistics;2016-02;high;;https://www.bls.gov/bls/news-release/empsit.htm;2025-09-09T19:36Z
US_FED_SEMIANNUAL_MPR_HOUSE_2016-02-10;Semiannual Monetary Policy Report to Congress — House Testimony;2016-02-10T15:00:00+00:00;US;U.S. House Committee on Financial Services;2016-02;high;"Chair: Janet L. Yellen; advance_notice";https://financialservices.house.gov/calendar/eventsingle.aspx?EventID=400262;2025-09-09T20:20Z
US_FED_SEMIANNUAL_MPR_SENATE_2016-02-11;Semiannual Monetary Policy Report to Congress — Senate Testimony;2016-02-11T15:00:00+00:00;US;U.S. Senate Committee on Banking, Housing, and Urban Affairs;2016-02;high;"Chair: Janet L. Yellen; advance_notice";https://www.banking.senate.gov/hearings/the-semiannual-monetary-report-to-congress;2025-09-09T20:20Z
