event_id;event;datetime_utc;country;source;period_label;impact;notes;source_url;retrieved_at_utc
US_ISM_MANUFACTURING_PMI_2018-01-02;ISM Manufacturing PMI;2018-01-03T15:00:00+00:00;US;Institute for Supply Management;2018-01;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-10T07:54Z
US_ISM_SERVICES_PMI_2018-01-04;ISM Services PMI;2018-01-04T15:00:00+00:00;US;Institute for Supply Management;2018-01;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-10T07:54Z
US_NFP_2018-01-05;Employment Situation (NFP);2018-01-05T13:30:00+00:00;US;Bureau of Labor Statistics;2018-01;high;;https://www.bls.gov/schedule/2018/home.htm;2025-09-10T07:39Z
US_PPI_2018-01-11;Producer Price Index (PPI);2018-01-11T13:30:00+00:00;US;U.S. Bureau of Labor Statistics;2018-01;high;;https://www.bls.gov/ppi/news-release/historical-release-dates-for-the-producer-price-index.pdf;2025-09-10T07:54Z
US_CPI_2018-01-12;CPI;2018-01-12T13:30:00+00:00;US;Bureau of Labor Statistics;2017-12;high;;https://www.bls.gov/news.release/archives/cpi_01122018.pdf;2025-09-10T08:26Z
US_RETAIL_SALES_2018-01-12;Retail Sales (Advance);2018-01-12T13:30:00+00:00;US;U.S. Census Bureau;2017-12;high;;https://www2.census.gov/marts/adv1712.pdf;2025-09-10T08:26Z
EZ_ECB_INTEREST_RATE_DECISION_2018-01-25;ECB Interest Rate Decision;2018-01-25T12:45:00+00:00;EZ;ECB;2018-01;high;Monetary policy decision;https://www.ecb.europa.eu/press/pr/date/2018/html/pr180125.en.html;2025-09-11T19:09Z
EZ_ECB_PRESS_CONFERENCE_2018-01-25;ECB Press Conference;2018-01-25T13:30:00+00:00;EZ;ECB;2018-01;high;Press conference;https://www.ecb.europa.eu/press/press_conference/monetary-policy-statement/2018/html/is180125.en.html;2025-09-11T19:09Z
US_GDP_2018-01-26;Gross Domestic Product (GDP);2018-01-26T13:30:00+00:00;US;Bureau of Economic Analysis;2018-01;high;;https://www.bea.gov/news/2018/gross-domestic-product-4th-quarter-and-annual-2017-advance-estimate;2025-09-10T07:54Z
US_PCE_2018-01-29;PCE (Personal Income & Outlays);2018-01-29T13:30:00+00:00;US;Bureau of Economic Analysis;2017-12;high;;https://www.bea.gov/news/2018/personal-income-and-outlays-december-2017;2025-09-10T08:26Z
US_FOMC_INTEREST_RATE_DECISION_2018-01-31;FOMC Interest Rate Decision;2018-01-31T19:00:00+00:00;US;Federal Reserve;2018-01;high;;https://www.federalreserve.gov/newsevents/pressreleases/monetary20180131a.htm;2025-09-10T07:39Z
US_FOMC_STATEMENT_2018-01-31;FOMC Statement;2018-01-31T19:00:00+00:00;US;Federal Reserve;2018-01;high;;https://www.federalreserve.gov/newsevents/pressreleases/monetary20180131a.htm;2025-09-10T07:39Z
