event_id;event;datetime_utc;country;source;period_label;impact;notes;source_url;retrieved_at_utc
US_ISM_MFG_PMI_20040102;ISM Manufacturing PMI;2004-01-02T15:00:00+00:00;US;Institute for Supply Management;2003-12;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T11:02:36
US_ISM_SERVICES_PMI_20040106;ISM Services PMI;2004-01-06T15:00:00+00:00;US;Institute for Supply Management;2003-12;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T11:02:36
EZ_ECB_INTEREST_RATE_DECISION_2004-01-08;ECB Interest Rate Decision;2004-01-08T12:45:00+00:00;EZ;ECB;2004-01;high;"Monetary policy decision; meeting held in Frankfurt am Main";https://www.ecb.europa.eu/press/pr/date/2004/html/pr040108.en.html;2025-09-11T19:09Z
EZ_ECB_PRESS_CONFERENCE_2004-01-08;ECB Press Conference;2004-01-08T13:30:00+00:00;EZ;ECB;2004-01;high;"Press conference; Frankfurt am Main";https://www.ecb.europa.eu/press/press_conference/monetary-policy-statement/2004/html/is040108.en.html;2025-09-11T19:09Z
US_BLS_NFP_20040109;Employment Situation (Nonfarm Payrolls);2004-01-09T13:30:00+00:00;US;Bureau of Labor Statistics;2003-12;high;;https://www.bls.gov/schedule/2004/home.htm;2025-09-08T10:36:15
US_RetailSales_Advance_20040114;Retail Sales (Advance);2004-01-14T13:30:00+00:00;US;U.S. Census Bureau;2003-12;high;;https://www2.census.gov/retail/releases/historical/marts/adv0312.pdf;2025-09-08T11:36:52
US_BLS_PPI_20040114;Producer Price Index (PPI);2004-01-14T13:30:00+00:00;US;Bureau of Labor Statistics;2003-12;high;;https://www.bls.gov/schedule/2004/home.htm;2025-09-08T11:02:36
US_CPI_20040115;CPI;2004-01-15T13:30:00+00:00;US;Bureau of Labor Statistics;2003-12;high;;https://www.bls.gov/schedule/2004/home.htm;2025-09-08T11:36:52
US_FOMC_ST_20040128;FOMC Statement;2004-01-28T19:15:00+00:00;US;Federal Reserve Board;2004-01;high;;https://www.federalreserve.gov/boarddocs/press/monetary/2004/20040128/default.htm;2025-09-08T10:36:15
US_FOMC_RATE_20040128;FOMC Interest Rate Decision;2004-01-28T19:15:00+00:00;US;Federal Reserve Board;2004-01;high;;https://www.federalreserve.gov/boarddocs/press/monetary/2004/20040128/default.htm;2025-09-08T10:36:15
US_BEA_GDP_20040130;GDP 2003-Q4 (Advance);2004-01-30T13:30:00+00:00;US;Bureau of Economic Analysis;2003-Q4;high;;https://www.bea.gov/news/2004/gross-domestic-product-fourth-quarter-2003-advance-estimates;2025-09-08T11:02:36
US_PCE_20040202;PCE;2004-02-02T13:30:00+00:00;US;Bureau of Economic Analysis;2003-12;high;;https://www.bea.gov/sites/default/files/newsreleases/national/pi/2004/pdf/pi1203.pdf;2025-09-08T11:36:52
US_ISM_MFG_PMI_20040202;ISM Manufacturing PMI;2004-02-02T15:00:00+00:00;US;Institute for Supply Management;2004-01;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T11:02:36
US_ISM_SERVICES_PMI_20040204;ISM Services PMI;2004-02-04T15:00:00+00:00;US;Institute for Supply Management;2004-01;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T11:02:36
EZ_ECB_INTEREST_RATE_DECISION_2004-02-05;ECB Interest Rate Decision;2004-02-05T12:45:00+00:00;EZ;ECB;2004-02;high;"Monetary policy decision; meeting held in Frankfurt am Main";https://www.ecb.europa.eu/press/pr/date/2004/html/pr040205.en.html;2025-09-11T19:09Z
EZ_ECB_PRESS_CONFERENCE_2004-02-05;ECB Press Conference;2004-02-05T13:30:00+00:00;EZ;ECB;2004-02;high;"Press conference; Frankfurt";https://www.ecb.europa.eu/press/press_conference/monetary-policy-statement/2004/html/is040205.en.html;2025-09-11T19:09Z
US_BLS_NFP_20040206;Employment Situation (Nonfarm Payrolls);2004-02-06T13:30:00+00:00;US;Bureau of Labor Statistics;2004-01;high;;https://www.bls.gov/schedule/2004/home.htm;2025-09-08T10:36:15
US-FED-20040211-HH-House;Fed Chair testimony — Monetary Policy Report (House);2004-02-11T16:04:00+00:00;US;House Financial Services (GovInfo);2004-02;high;Fed Chair testimony: Alan Greenspan;https://www.govinfo.gov/content/pkg/CHRG-108hhrg93425/html/CHRG-108hhrg93425.htm;2025-09-08 11:44:39
US_RetailSales_Advance_20040212;Retail Sales (Advance);2004-02-12T13:30:00+00:00;US;U.S. Census Bureau;2004-01;high;;https://www2.census.gov/marts/adv0312.pdf;2025-09-08T11:36:52
US-FED-20040212-HH-Senate;Fed Chair testimony — Monetary Policy Report (Senate);2004-02-12T15:02:00+00:00;US;Senate Banking (GovInfo);2004-02;high;Fed Chair testimony: Alan Greenspan;https://archive.org/download/gov.gpo.fdsys.CHRG-108shrg94291/CHRG-108shrg94291.pdf;2025-09-08 11:44:39
US_BLS_PPI_20040219;Producer Price Index (PPI);2004-02-19T13:30:00+00:00;US;Bureau of Labor Statistics;2004-01;high;;https://www.bls.gov/schedule/2004/home.htm;2025-09-08T11:02:36
US_CPI_20040220;CPI;2004-02-20T13:30:00+00:00;US;Bureau of Labor Statistics;2004-01;high;;https://www.bls.gov/schedule/2004/home.htm;2025-09-08T11:36:52
US_BEA_GDP_20040227;GDP 2003-Q4 (Preliminary);2004-02-27T13:30:00+00:00;US;Bureau of Economic Analysis;2003-Q4;high;;https://www.bea.gov/news/2004/gross-domestic-product-fourth-quarter-2003-preliminary-estimates;2025-09-08T11:02:36
US_PCE_20040301;PCE;2004-03-01T13:30:00+00:00;US;Bureau of Economic Analysis;2004-01;high;;https://www.bea.gov/news/2004/personal-income-and-outlays-january-2004;2025-09-08T11:36:52
US_ISM_MFG_PMI_20040301;ISM Manufacturing PMI;2004-03-01T15:00:00+00:00;US;Institute for Supply Management;2004-02;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T11:02:36
US_ISM_SERVICES_PMI_20040303;ISM Services PMI;2004-03-03T15:00:00+00:00;US;Institute for Supply Management;2004-02;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T11:02:36
EZ_ECB_INTEREST_RATE_DECISION_2004-03-04;ECB Interest Rate Decision;2004-03-04T12:45:00+00:00;EZ;ECB;2004-03;high;"Monetary policy decision; meeting held in Frankfurt am Main";https://www.ecb.europa.eu/press/pr/date/2004/html/pr040304.en.html;2025-09-11T19:09Z
EZ_ECB_PRESS_CONFERENCE_2004-03-04;ECB Press Conference;2004-03-04T13:30:00+00:00;EZ;ECB;2004-03;high;"Press conference; Frankfurt am Main";https://www.ecb.europa.eu/press/press_conference/monetary-policy-statement/2004/html/is040304.en.html;2025-09-11T19:09Z
US_BLS_NFP_20040305;Employment Situation (Nonfarm Payrolls);2004-03-05T13:30:00+00:00;US;Bureau of Labor Statistics;2004-02;high;;https://www.bls.gov/schedule/2004/home.htm;2025-09-08T10:36:15
US_RetailSales_Advance_20040311;Retail Sales (Advance);2004-03-11T13:30:00+00:00;US;U.S. Census Bureau;2004-02;high;;https://www2.census.gov/marts/adv0402.pdf;2025-09-08T11:36:52
US_FOMC_ST_20040316;FOMC Statement;2004-03-16T19:15:00+00:00;US;Federal Reserve Board;2004-03;high;;https://www.federalreserve.gov/boarddocs/press/monetary/2004/20040316/default.htm;2025-09-08T10:36:15
US_FOMC_RATE_20040316;FOMC Interest Rate Decision;2004-03-16T19:15:00+00:00;US;Federal Reserve Board;2004-03;high;;https://www.federalreserve.gov/boarddocs/press/monetary/2004/20040316/default.htm;2025-09-08T10:36:15
US_CPI_20040317;CPI;2004-03-17T13:30:00+00:00;US;Bureau of Labor Statistics;2004-02;high;;https://www.bls.gov/schedule/2004/home.htm;2025-09-08T11:36:52
US_BEA_GDP_20040325;GDP 2003-Q4 (Final);2004-03-25T13:30:00+00:00;US;Bureau of Economic Analysis;2003-Q4;high;;https://www.bea.gov/news/2004/gross-domestic-product-and-corporate-profits-fourth-quarter-2003-final-estimates;2025-09-08T11:02:36
