event_id;event;datetime_utc;country;source;period_label;impact;notes;source_url;retrieved_at_utc
US_ISM_MANUFACTURING_PMI_2023-01-03;ISM Manufacturing PMI;2023-01-03T15:00:00+00:00;US;Institute for Supply Management;2023-01;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-10T16:31Z
US_NFP_EMPLOYMENT_SITUATION_2023-01-06;Employment Situation (NFP);2023-01-06T13:30:00+00:00;US;U.S. Bureau of Labor Statistics;2023-01;high;;https://www.bls.gov/news.release/archives/empsit_01062023.htm;2025-09-10T16:21Z
US_ISM_SERVICES_PMI_2023-01-06;ISM Services PMI;2023-01-06T15:00:00+00:00;US;Institute for Supply Management;2023-01;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-10T16:31Z
US_CPI_2023-01-12;Consumer Price Index (CPI);2023-01-12T13:30:00+00:00;US;U.S. Bureau of Labor Statistics;2023-01;high;;https://www.bls.gov/schedule/2023/home.htm;2025-09-10T16:54Z
US_RETAIL_SALES_ADVANCE_2023-01-18;Retail Sales (Advance);2023-01-18T13:30:00+00:00;US;U.S. Census Bureau;2023-01;high;;https://www.census.gov/economic-indicators/calendar-listview-2023.html;2025-09-10T16:54Z
US_PPI_2023-01-18;Producer Price Index (PPI);2023-01-18T13:30:00+00:00;US;U.S. Bureau of Labor Statistics;2023-01;high;;https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-july-2023.pdf;2025-09-10T16:31Z
US_GDP_2023-01-26;Gross Domestic Product (GDP);2023-01-26T13:30:00+00:00;US;U.S. Bureau of Economic Analysis;2023-01;high;;https://www.bea.gov/news/schedule;2025-09-10T16:31Z
US_PCE_2023-01-27;Personal Consumption Expenditures (PCE) Price Index;2023-01-27T13:30:00+00:00;US;U.S. Bureau of Economic Analysis;2023-01;high;;https://apps.bea.gov/scb/2022/12-december/pdf/1222-news-releases-2023.pdf;2025-09-10T16:54Z
US_ISM_MANUFACTURING_PMI_2023-02-01;ISM Manufacturing PMI;2023-02-01T15:00:00+00:00;US;Institute for Supply Management;2023-02;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-10T16:31Z
US_FOMC_INTEREST_RATE_DECISION_2023-02-01;FOMC Interest Rate Decision;2023-02-01T19:00:00+00:00;US;Federal Reserve Board;2023-02;high;;https://www.federalreserve.gov/newsevents/pressreleases/monetary20230201a.htm;2025-09-10T16:21Z
US_FOMC_STATEMENT_2023-02-01;FOMC Statement;2023-02-01T19:00:00+00:00;US;Federal Reserve Board;2023-02;high;;https://www.federalreserve.gov/newsevents/pressreleases/monetary20230201a.htm;2025-09-10T16:21Z
US_FOMC_PRESS_CONFERENCE_2023-02-01;FOMC Press Conference;2023-02-01T19:30:00+00:00;US;Federal Reserve Board;2023-02;high;;https://www.federalreserve.gov/monetarypolicy/fomcpresconf20230201.htm;2025-09-10T16:21Z
EZ_ECB_INTEREST_RATE_DECISION_2023-02-02;ECB Interest Rate Decision;2023-02-02T13:15:00+00:00;EZ;ECB;2023-02;high;Monetary policy decision;https://www.ecb.europa.eu/press/pr/date/2023/html/ecb.mp230202~08a972ac76.en.html;2025-09-11T20:23Z
EZ_ECB_PRESS_CONFERENCE_2023-02-02;ECB Press Conference;2023-02-02T13:45:00+00:00;EZ;ECB;2023-02;high;Press conference;https://www.ecb.europa.eu/press/press_conference/monetary-policy-statement/2023/html/ecb.is230202~4313651089.en.html;2025-09-11T20:23Z
US_NFP_EMPLOYMENT_SITUATION_2023-02-03;Employment Situation (NFP);2023-02-03T13:30:00+00:00;US;U.S. Bureau of Labor Statistics;2023-02;high;;https://www.bls.gov/news.release/archives/empsit_02032023.htm;2025-09-10T16:21Z
US_ISM_SERVICES_PMI_2023-02-03;ISM Services PMI;2023-02-03T15:00:00+00:00;US;Institute for Supply Management;2023-02;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-10T16:31Z
US_CPI_2023-02-14;Consumer Price Index (CPI);2023-02-14T13:30:00+00:00;US;U.S. Bureau of Labor Statistics;2023-02;high;;https://www.bls.gov/schedule/2023/home.htm;2025-09-10T16:54Z
US_RETAIL_SALES_ADVANCE_2023-02-15;Retail Sales (Advance);2023-02-15T13:30:00+00:00;US;U.S. Census Bureau;2023-02;high;;https://www.census.gov/economic-indicators/calendar-listview-2023.html;2025-09-10T16:54Z
US_PPI_2023-02-16;Producer Price Index (PPI);2023-02-16T13:30:00+00:00;US;U.S. Bureau of Labor Statistics;2023-02;high;;https://www.bls.gov/ppi/detailed-report/ppi-detailed-report-july-2023.pdf;2025-09-10T16:31Z
US_GDP_2023-02-23;Gross Domestic Product (GDP);2023-02-23T13:30:00+00:00;US;U.S. Bureau of Economic Analysis;2023-02;high;;https://www.bea.gov/news/schedule;2025-09-10T16:31Z
US_PCE_2023-02-24;Personal Consumption Expenditures (PCE) Price Index;2023-02-24T13:30:00+00:00;US;U.S. Bureau of Economic Analysis;2023-02;high;;https://apps.bea.gov/scb/2022/12-december/pdf/1222-news-releases-2023.pdf;2025-09-10T16:54Z
