event_id;event;datetime_utc;country;source;period_label;impact;notes;source_url;retrieved_at_utc
US_ISM_MFG_PMI_20060103;ISM Manufacturing PMI;2006-01-03T15:00:00+00:00;US;Institute for Supply Management;2005-12;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T13:32:13Z
US_ISM_SERVICES_PMI_20060105;ISM Services PMI;2006-01-05T15:00:00+00:00;US;Institute for Supply Management;2005-12;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T13:32:13Z
US_BLS_NFP_20060106;Employment Situation (Nonfarm Payrolls);2006-01-06T13:30:00+00:00;US;Bureau of Labor Statistics;2005-12;high;;https://www.bls.gov/schedule/2006/home.htm;2025-09-08T13:26:27
EZ_ECB_INTEREST_RATE_DECISION_2006-01-12;ECB Interest Rate Decision;2006-01-12T12:45:00+00:00;EZ;ECB;2006-01;high;Decision press release published at 14:15 (local CET/CEST) per ECB policy page.;https://www.ecb.europa.eu/press/pr/date/2006/html/pr060112.en.html;2025-09-11T19:09Z
EZ_ECB_PRESS_CONFERENCE_2006-01-12;ECB Press Conference;2006-01-12T13:30:00+00:00;EZ;ECB;2006-01;high;Press conference starts at 14:30 (local CET/CEST) as stated in the decision press release.;https://www.ecb.europa.eu/press/press_conference/monetary-policy-statement/2006/html/is060112.en.html;2025-09-11T19:09Z
US_RetailSales_Advance_20060113;Retail Sales (Advance);2006-01-13T13:30:00+00:00;US;U.S. Census Bureau;2005-12;high;;https://www2.census.gov/retail/releases/historical/marts/adv0512.pdf;2025-09-08T14:08:05Z
US_PPI_20060113;Producer Price Index (PPI);2006-01-13T13:30:00+00:00;US;Bureau of Labor Statistics;2005-12;high;;https://www.bls.gov/schedule/2006/home.htm;2025-09-08T13:32:13Z
US_CPI_20060118;CPI;2006-01-18T13:30:00+00:00;US;Bureau of Labor Statistics;2005-12;high;;https://www.bls.gov/news.release/archives/cpi_01182006.pdf;2025-09-08T14:08:05Z
US_GDP_20060127;GDP 2005-Q4 (Advance);2006-01-27T13:30:00+00:00;US;Bureau of Economic Analysis;2005-Q4;high;;https://www.bea.gov/news/2006/gross-domestic-product-fourth-quarter-2005-advance-estimates;2025-09-08T13:32:13Z
US_PCE_20060130;PCE;2006-01-30T13:30:00+00:00;US;Bureau of Economic Analysis;2005-12;high;;https://www.bea.gov/news/2006/personal-income-and-outlays-december-2005;2025-09-08T14:08:05Z
US_FOMC_ST_20060131;FOMC Statement;2006-01-31T19:15:00+00:00;US;Federal Reserve Board;2006-01;high;;https://www.federalreserve.gov/newsevents/pressreleases/monetary20060131a.htm;2025-09-08T13:26:27
US_FOMC_RATE_20060131;FOMC Interest Rate Decision;2006-01-31T19:15:00+00:00;US;Federal Reserve Board;2006-01;high;;https://www.federalreserve.gov/newsevents/pressreleases/monetary20060131a.htm;2025-09-08T13:26:27
US_ISM_MFG_PMI_20060201;ISM Manufacturing PMI;2006-02-01T15:00:00+00:00;US;Institute for Supply Management;2006-01;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T13:32:13Z
EZ_ECB_INTEREST_RATE_DECISION_2006-02-02;ECB Interest Rate Decision;2006-02-02T12:45:00+00:00;EZ;ECB;2006-02;high;Decision press release published at 14:15 (local CET/CEST) per ECB policy page.;https://www.ecb.europa.eu/press/pr/date/2006/html/pr060202.en.html;2025-09-11T19:09Z
