date,5–15 min,15–30 min,30–60 min,60–180 min,≥180 min,bucketed_total,lt_5_min,all_gaps_total
2006-01-03,,1.0000,,0,0,1.0000,130.0000,131
2006-01-04,1.0000,,,0,0,1.0000,131.0000,132
2006-01-05,1.0000,2.0000,,0,0,3.0000,155.0000,158
2006-01-06,2.0000,,,0,0,2.0000,125.0000,127
2006-01-08,1.0000,,,0,0,1.0000,74.0000,75
2006-01-09,3.0000,1.0000,,0,0,4.0000,172.0000,176
2006-01-10,5.0000,,,0,0,5.0000,181.0000,186
2006-01-11,2.0000,1.0000,,0,0,3.0000,155.0000,158
2006-01-12,6.0000,,,0,0,6.0000,162.0000,168
2006-01-13,1.0000,,,0,0,1.0000,95.0000,96
2006-01-15,1.0000,,,0,0,1.0000,69.0000,70
2006-01-16,15.0000,2.0000,,0,0,17.0000,224.0000,241
2006-01-17,1.0000,,,0,0,1.0000,142.0000,143
2006-01-18,1.0000,,,0,0,1.0000,147.0000,148
2006-01-19,6.0000,,,0,0,6.0000,171.0000,177
2006-01-20,1.0000,,,0,0,1.0000,84.0000,85
2006-01-23,2.0000,,,0,0,2.0000,130.0000,132
2006-01-24,2.0000,,,0,0,2.0000,145.0000,147
2006-01-25,3.0000,,,0,0,3.0000,145.0000,148
2006-01-26,2.0000,,,0,0,2.0000,177.0000,179
2006-01-29,3.0000,,,0,0,3.0000,92.0000,95
2006-01-30,10.0000,,,0,0,10.0000,217.0000,227
2006-01-31,5.0000,,,0,0,5.0000,161.0000,166
2006-02-01,4.0000,1.0000,,0,0,5.0000,160.0000,165
2006-02-02,8.0000,,,0,0,8.0000,170.0000,178
2006-02-03,1.0000,,,0,0,1.0000,122.0000,123
2006-02-05,3.0000,,,0,0,3.0000,87.0000,90
2006-02-06,4.0000,,,0,0,4.0000,196.0000,200
2006-02-07,5.0000,1.0000,,0,0,6.0000,182.0000,188
2006-02-08,5.0000,,,0,0,5.0000,200.0000,205
2006-02-09,4.0000,,,0,0,4.0000,208.0000,212
2006-02-10,2.0000,,,0,0,2.0000,97.0000,99
2006-02-12,7.0000,,,0,0,7.0000,90.0000,97
2006-02-13,13.0000,,,0,0,13.0000,254.0000,267
2006-02-14,4.0000,,,0,0,4.0000,230.0000,234
2006-02-15,10.0000,1.0000,,0,0,11.0000,244.0000,255
2006-02-16,6.0000,,,0,0,6.0000,240.0000,246
2006-02-17,1.0000,1.0000,,0,0,2.0000,129.0000,131
2006-02-19,6.0000,,,0,0,6.0000,66.0000,72
2006-02-20,20.0000,1.0000,1.0000,0,0,22.0000,290.0000,312
2006-02-21,11.0000,1.0000,,0,0,12.0000,264.0000,276
2006-02-22,12.0000,,,0,0,12.0000,227.0000,239
2006-02-23,4.0000,,,0,0,4.0000,195.0000,199
2006-02-24,3.0000,,,0,0,3.0000,116.0000,119
2006-02-26,2.0000,,,0,0,2.0000,62.0000,64
2006-02-27,5.0000,,,0,0,5.0000,228.0000,233
2006-02-28,5.0000,1.0000,,0,0,6.0000,215.0000,221
2006-03-01,4.0000,1.0000,,0,0,5.0000,210.0000,215
2006-03-02,6.0000,,,0,0,6.0000,206.0000,212
2006-03-03,1.0000,,,0,0,1.0000,139.0000,140
2006-03-06,2.0000,,,0,0,2.0000,227.0000,229
2006-03-07,4.0000,,,0,0,4.0000,174.0000,178
