date,5–15 min,15–30 min,30–60 min,60–180 min,≥180 min,bucketed_total,lt_5_min,all_gaps_total
2021-01-07,1.0000,,,0,0,1.0000,2.0000,3
2021-01-18,1.0000,,,0,0,1.0000,24.0000,25
2021-01-20,1.0000,,,0,0,1.0000,15.0000,16
2021-02-04,2.0000,,,0,0,2.0000,7.0000,9
2021-02-08,2.0000,,,0,0,2.0000,11.0000,13
2021-02-14,1.0000,,,0,0,1.0000,7.0000,8
2021-02-15,1.0000,,,0,0,1.0000,27.0000,28
2021-03-07,1.0000,,,0,0,1.0000,6.0000,7
2021-03-14,1.0000,,,0,0,1.0000,2.0000,3
2021-03-28,,,1.0000,0,0,1.0000,13.0000,14
2021-04-04,1.0000,,,0,0,1.0000,22.0000,23
2021-04-05,1.0000,,,0,0,1.0000,41.0000,42
2021-04-14,1.0000,,,0,0,1.0000,35.0000,36
2021-04-15,1.0000,,,0,0,1.0000,21.0000,22
2021-04-20,1.0000,1.0000,,0,0,2.0000,20.0000,22
2021-04-21,1.0000,,,0,0,1.0000,34.0000,35
2021-04-26,1.0000,,,0,0,1.0000,22.0000,23
2021-04-29,1.0000,,,0,0,1.0000,28.0000,29
2021-05-03,2.0000,,,0,0,2.0000,54.0000,56
2021-05-05,1.0000,,,0,0,1.0000,40.0000,41
2021-05-13,1.0000,,,0,0,1.0000,22.0000,23
2021-05-17,1.0000,,,0,0,1.0000,22.0000,23
2021-05-19,1.0000,,,0,0,1.0000,19.0000,20
2021-06-09,1.0000,,,0,0,1.0000,43.0000,44
2021-06-14,1.0000,,,0,0,1.0000,45.0000,46
2021-07-08,1.0000,,,0,0,1.0000,13.0000,14
2021-07-25,1.0000,,,0,0,1.0000,23.0000,24
2021-08-09,2.0000,,,0,0,2.0000,47.0000,49
2021-08-16,1.0000,,,0,0,1.0000,69.0000,70
2021-08-23,1.0000,,,0,0,1.0000,41.0000,42
2021-09-02,1.0000,,,0,0,1.0000,42.0000,43
2021-09-14,1.0000,,,0,0,1.0000,31.0000,32
2021-09-15,1.0000,,,0,0,1.0000,41.0000,42
2021-10-12,2.0000,,,0,0,2.0000,34.0000,36
2021-10-14,1.0000,,,0,0,1.0000,25.0000,26
2021-12-12,1.0000,,,0,0,1.0000,6.0000,7
