date,5–15 min,15–30 min,30–60 min,60–180 min,≥180 min,bucketed_total,lt_5_min,all_gaps_total
2009-01-11,1.0000,,,0,0,1.0000,46.0000,47
2009-01-22,1.0000,,,0,0,1.0000,55.0000,56
2009-01-25,1.0000,,,0,0,1.0000,62.0000,63
2009-01-28,1.0000,,,0,0,1.0000,44.0000,45
2009-02-02,2.0000,,,0,0,2.0000,74.0000,76
2009-02-08,2.0000,,,0,0,2.0000,28.0000,30
2009-02-15,1.0000,,,0,0,1.0000,43.0000,44
2009-02-16,1.0000,,,0,0,1.0000,109.0000,110
2009-02-20,1.0000,,,0,0,1.0000,18.0000,19
2009-02-25,1.0000,,,0,0,1.0000,67.0000,68
2009-03-17,1.0000,,,0,0,1.0000,59.0000,60
2009-03-26,2.0000,,,0,0,2.0000,72.0000,74
2009-04-05,1.0000,,,0,0,1.0000,31.0000,32
2009-04-09,2.0000,,,0,0,2.0000,95.0000,97
2009-04-10,5.0000,,,0,0,5.0000,217.0000,222
2009-04-12,4.0000,,,0,0,4.0000,73.0000,77
2009-04-14,1.0000,,,0,0,1.0000,66.0000,67
2009-04-19,4.0000,,,0,0,4.0000,26.0000,30
2009-05-03,2.0000,1.0000,,0,0,3.0000,36.0000,39
2009-05-13,2.0000,,,0,0,2.0000,58.0000,60
2009-05-14,2.0000,,,0,0,2.0000,92.0000,94
2009-05-17,3.0000,,,0,0,3.0000,46.0000,49
2009-05-18,2.0000,,,0,0,2.0000,88.0000,90
2009-05-19,1.0000,,,0,0,1.0000,74.0000,75
2009-05-20,1.0000,,,0,0,1.0000,60.0000,61
2009-05-25,7.0000,,,0,0,7.0000,172.0000,179
2009-05-26,1.0000,,,0,0,1.0000,76.0000,77
2009-05-28,3.0000,,,0,0,3.0000,69.0000,72
2009-05-31,1.0000,,,0,0,1.0000,52.0000,53
2009-06-01,4.0000,,,0,0,4.0000,67.0000,71
2009-06-04,2.0000,1.0000,,0,0,3.0000,63.0000,66
2009-06-07,4.0000,,,0,0,4.0000,59.0000,63
2009-06-09,1.0000,,,0,0,1.0000,76.0000,77
2009-06-14,1.0000,,,0,0,1.0000,53.0000,54
2009-06-18,1.0000,,,0,0,1.0000,70.0000,71
2009-06-21,2.0000,,,0,0,2.0000,54.0000,56
2009-06-22,1.0000,,,0,0,1.0000,70.0000,71
