date,5–15 min,15–30 min,30–60 min,60–180 min,≥180 min,bucketed_total,lt_5_min,all_gaps_total
2022-01-03,1.0000,0,,0,0,1.0000,11.0000,12
2022-03-24,1.0000,0,,0,0,1.0000,13.0000,14
2022-03-27,,0,1.0000,0,0,1.0000,6.0000,7
2022-07-24,1.0000,0,,0,0,1.0000,7.0000,8
2022-08-02,1.0000,0,,0,0,1.0000,9.0000,10
2022-08-16,1.0000,0,,0,0,1.0000,5.0000,6
2022-09-18,1.0000,0,,0,0,1.0000,13.0000,14
2022-10-09,1.0000,0,,0,0,1.0000,10.0000,11
2022-10-17,2.0000,0,,0,0,2.0000,7.0000,9
2022-10-27,1.0000,0,,0,0,1.0000,13.0000,14
2022-11-02,1.0000,0,,0,0,1.0000,4.0000,5
2022-11-27,1.0000,0,,0,0,1.0000,4.0000,5
2022-12-15,1.0000,0,,0,0,1.0000,3.0000,4
2022-12-22,1.0000,0,,0,0,1.0000,6.0000,7
2022-12-25,3.0000,0,,0,0,3.0000,8.0000,11
2022-12-26,2.0000,0,,0,0,2.0000,67.0000,69
2022-12-29,1.0000,0,,0,0,1.0000,3.0000,4
