date,5–15 min,15–30 min,30–60 min,60–180 min,≥180 min,bucketed_total,lt_5_min,all_gaps_total
2010-01-03,1.0000,,0,0,0,1.0000,49.0000,50
2010-01-04,1.0000,,0,0,0,1.0000,120.0000,121
2010-01-07,2.0000,,0,0,0,2.0000,124.0000,126
2010-01-10,1.0000,,0,0,0,1.0000,38.0000,39
2010-01-14,2.0000,,0,0,0,2.0000,111.0000,113
2010-01-17,2.0000,,0,0,0,2.0000,60.0000,62
2010-01-18,10.0000,,0,0,0,10.0000,186.0000,196
2010-01-19,1.0000,,0,0,0,1.0000,107.0000,108
2010-01-24,1.0000,,0,0,0,1.0000,55.0000,56
2010-01-25,2.0000,,0,0,0,2.0000,98.0000,100
2010-02-01,2.0000,,0,0,0,2.0000,106.0000,108
2010-02-03,1.0000,,0,0,0,1.0000,98.0000,99
2010-02-05,1.0000,,0,0,0,1.0000,9.0000,10
2010-02-10,1.0000,,0,0,0,1.0000,93.0000,94
2010-02-14,3.0000,,0,0,0,3.0000,78.0000,81
2010-02-15,4.0000,,0,0,0,4.0000,180.0000,184
2010-02-22,1.0000,,0,0,0,1.0000,135.0000,136
2010-02-24,2.0000,,0,0,0,2.0000,91.0000,93
2010-02-28,1.0000,,0,0,0,1.0000,45.0000,46
2010-03-01,1.0000,,0,0,0,1.0000,86.0000,87
2010-03-05,1.0000,,0,0,0,1.0000,81.0000,82
2010-03-09,1.0000,,0,0,0,1.0000,110.0000,111
2010-03-10,1.0000,,0,0,0,1.0000,129.0000,130
2010-03-14,2.0000,,0,0,0,2.0000,71.0000,73
2010-03-15,3.0000,,0,0,0,3.0000,137.0000,140
2010-03-16,2.0000,,0,0,0,2.0000,120.0000,122
2010-03-17,4.0000,,0,0,0,4.0000,145.0000,149
2010-03-18,1.0000,,0,0,0,1.0000,149.0000,150
2010-03-21,3.0000,,0,0,0,3.0000,63.0000,66
2010-03-22,1.0000,,0,0,0,1.0000,160.0000,161
2010-03-23,1.0000,,0,0,0,1.0000,131.0000,132
2010-03-24,2.0000,,0,0,0,2.0000,91.0000,93
2010-03-26,1.0000,,0,0,0,1.0000,41.0000,42
2010-03-29,2.0000,,0,0,0,2.0000,166.0000,168
2010-03-30,2.0000,,0,0,0,2.0000,143.0000,145
2010-03-31,2.0000,,0,0,0,2.0000,128.0000,130
2010-04-01,3.0000,,0,0,0,3.0000,169.0000,172
2010-04-02,8.0000,1.0000,0,0,0,9.0000,197.0000,206
2010-04-04,3.0000,,0,0,0,3.0000,97.0000,100
2010-04-05,5.0000,,0,0,0,5.0000,194.0000,199
2010-04-06,5.0000,,0,0,0,5.0000,115.0000,120
2010-04-07,1.0000,,0,0,0,1.0000,114.0000,115
2010-04-08,4.0000,,0,0,0,4.0000,128.0000,132
2010-04-12,1.0000,,0,0,0,1.0000,114.0000,115
2010-04-13,2.0000,,0,0,0,2.0000,115.0000,117
2010-04-14,2.0000,,0,0,0,2.0000,144.0000,146
2010-04-20,2.0000,,0,0,0,2.0000,137.0000,139
2010-04-25,1.0000,,0,0,0,1.0000,75.0000,76
2010-04-26,2.0000,,0,0,0,2.0000,97.0000,99
2010-04-29,1.0000,,0,0,0,1.0000,102.0000,103
2010-05-03,1.0000,,0,0,0,1.0000,180.0000,181
2010-05-10,1.0000,,0,0,0,1.0000,39.0000,40
2010-05-17,1.0000,,0,0,0,1.0000,47.0000,48
2010-05-25,1.0000,,0,0,0,1.0000,38.0000,39
2010-05-30,1.0000,,0,0,0,1.0000,67.0000,68
2010-05-31,4.0000,,0,0,0,4.0000,152.0000,156
2010-06-02,1.0000,,0,0,0,1.0000,59.0000,60
2010-06-03,2.0000,,0,0,0,2.0000,81.0000,83
2010-06-07,1.0000,,0,0,0,1.0000,68.0000,69
2010-06-08,1.0000,,0,0,0,1.0000,71.0000,72
2010-06-14,2.0000,,0,0,0,2.0000,99.0000,101
2010-06-17,1.0000,,0,0,0,1.0000,103.0000,104
2010-06-21,2.0000,,0,0,0,2.0000,69.0000,71
2010-06-22,1.0000,,0,0,0,1.0000,79.0000,80
2010-06-23,2.0000,,0,0,0,2.0000,91.0000,93
2010-06-24,2.0000,,0,0,0,2.0000,114.0000,116
2010-06-27,3.0000,,0,0,0,3.0000,67.0000,70
2010-06-28,3.0000,,0,0,0,3.0000,112.0000,115
2010-06-29,2.0000,,0,0,0,2.0000,68.0000,70
2010-06-30,1.0000,,0,0,0,1.0000,78.0000,79
2010-07-04,4.0000,,0,0,0,4.0000,72.0000,76
2010-07-05,13.0000,,0,0,0,13.0000,168.0000,181
2010-07-08,3.0000,,0,0,0,3.0000,95.0000,98
2010-07-11,5.0000,,0,0,0,5.0000,65.0000,70
2010-07-12,2.0000,,0,0,0,2.0000,168.0000,170
2010-07-13,1.0000,,0,0,0,1.0000,109.0000,110
2010-07-14,3.0000,,0,0,0,3.0000,109.0000,112
2010-07-15,1.0000,,0,0,0,1.0000,93.0000,94
2010-07-18,1.0000,,0,0,0,1.0000,57.0000,58
2010-07-20,4.0000,,0,0,0,4.0000,91.0000,95
2010-07-21,1.0000,,0,0,0,1.0000,76.0000,77
2010-07-22,1.0000,,0,0,0,1.0000,85.0000,86
2010-07-27,5.0000,,0,0,0,5.0000,83.0000,88
2010-07-28,3.0000,,0,0,0,3.0000,107.0000,110
2010-08-01,6.0000,,0,0,0,6.0000,71.0000,77
2010-08-02,3.0000,,0,0,0,3.0000,155.0000,158
2010-08-03,4.0000,1.0000,0,0,0,5.0000,163.0000,168
2010-08-04,1.0000,,0,0,0,1.0000,135.0000,136
2010-08-05,4.0000,,0,0,0,4.0000,149.0000,153
2010-08-08,4.0000,,0,0,0,4.0000,105.0000,109
2010-08-09,10.0000,,0,0,0,10.0000,153.0000,163
2010-08-10,2.0000,,0,0,0,2.0000,124.0000,126
2010-08-12,3.0000,,0,0,0,3.0000,111.0000,114
2010-08-17,4.0000,,0,0,0,4.0000,121.0000,125
2010-08-18,2.0000,,0,0,0,2.0000,93.0000,95
2010-08-20,1.0000,,0,0,0,1.0000,62.0000,63
2010-08-22,5.0000,,0,0,0,5.0000,55.0000,60
2010-08-23,1.0000,,0,0,0,1.0000,112.0000,113
2010-08-25,1.0000,,0,0,0,1.0000,107.0000,108
2010-08-29,2.0000,,0,0,0,2.0000,82.0000,84
2010-08-30,1.0000,,0,0,0,1.0000,164.0000,165
2010-08-31,3.0000,,0,0,0,3.0000,93.0000,96
2010-09-01,1.0000,,0,0,0,1.0000,132.0000,133
2010-09-02,5.0000,,0,0,0,5.0000,160.0000,165
2010-09-03,1.0000,,0,0,0,1.0000,98.0000,99
2010-09-05,6.0000,,0,0,0,6.0000,86.0000,92
2010-09-06,13.0000,,0,0,0,13.0000,178.0000,191
2010-09-08,4.0000,,0,0,0,4.0000,122.0000,126
2010-09-09,2.0000,,0,0,0,2.0000,130.0000,132
2010-09-10,1.0000,,0,0,0,1.0000,53.0000,54
2010-09-13,2.0000,,0,0,0,2.0000,132.0000,134
2010-09-14,1.0000,,0,0,0,1.0000,94.0000,95
2010-09-15,1.0000,,0,0,0,1.0000,116.0000,117
2010-09-16,2.0000,,0,0,0,2.0000,148.0000,150
2010-09-19,1.0000,,0,0,0,1.0000,91.0000,92
2010-09-20,5.0000,,0,0,0,5.0000,159.0000,164
2010-09-21,1.0000,,0,0,0,1.0000,90.0000,91
2010-09-23,1.0000,,0,0,0,1.0000,117.0000,118
2010-09-26,3.0000,,0,0,0,3.0000,64.0000,67
2010-09-29,1.0000,,0,0,0,1.0000,102.0000,103
2010-10-03,2.0000,,0,0,0,2.0000,86.0000,88
2010-10-04,3.0000,,0,0,0,3.0000,110.0000,113
2010-10-05,3.0000,,0,0,0,3.0000,114.0000,117
2010-10-06,1.0000,,0,0,0,1.0000,117.0000,118
2010-10-07,1.0000,,0,0,0,1.0000,114.0000,115
2010-10-10,1.0000,,0,0,0,1.0000,70.0000,71
2010-10-11,2.0000,,0,0,0,2.0000,142.0000,144
2010-10-13,2.0000,,0,0,0,2.0000,90.0000,92
2010-10-14,1.0000,,0,0,0,1.0000,94.0000,95
2010-10-17,1.0000,,0,0,0,1.0000,44.0000,45
2010-10-21,2.0000,,0,0,0,2.0000,84.0000,86
2010-10-28,1.0000,,0,0,0,1.0000,93.0000,94
2010-10-31,1.0000,,0,0,0,1.0000,57.0000,58
2010-11-01,2.0000,,0,0,0,2.0000,90.0000,92
2010-11-04,2.0000,,0,0,0,2.0000,78.0000,80
2010-11-14,1.0000,,0,0,0,1.0000,35.0000,36
2010-11-24,1.0000,,0,0,0,1.0000,58.0000,59
2010-11-25,4.0000,,0,0,0,4.0000,144.0000,148
2010-11-26,1.0000,,0,0,0,1.0000,51.0000,52
2010-12-01,1.0000,,0,0,0,1.0000,81.0000,82
2010-12-10,1.0000,,0,0,0,1.0000,41.0000,42
2010-12-14,1.0000,,0,0,0,1.0000,94.0000,95
2010-12-16,1.0000,,0,0,0,1.0000,113.0000,114
2010-12-20,1.0000,,0,0,0,1.0000,112.0000,113
2010-12-21,1.0000,,0,0,0,1.0000,111.0000,112
2010-12-22,1.0000,,0,0,0,1.0000,158.0000,159
2010-12-23,4.0000,,0,0,0,4.0000,175.0000,179
2010-12-24,10.0000,1.0000,0,0,0,11.0000,140.0000,151
2010-12-26,4.0000,,0,0,0,4.0000,77.0000,81
2010-12-27,1.0000,,0,0,0,1.0000,187.0000,188
2010-12-29,1.0000,,0,0,0,1.0000,154.0000,155
2010-12-30,3.0000,,0,0,0,3.0000,146.0000,149
