date,5–15 min,15–30 min,30–60 min,60–180 min,≥180 min,bucketed_total,lt_5_min,all_gaps_total
2023-01-01,,1.0000,,,0,1.0000,11.0000,12
2023-01-10,1.0000,,,,0,1.0000,6.0000,7
2023-01-19,1.0000,,,,0,1.0000,6.0000,7
2023-01-23,1.0000,,,,0,1.0000,9.0000,10
2023-01-25,1.0000,,,,0,1.0000,9.0000,10
2023-01-27,,,1.0000,,0,1.0000,3.0000,4
2023-02-01,1.0000,,,,0,1.0000,4.0000,5
2023-02-02,2.0000,,,,0,2.0000,5.0000,7
2023-02-19,,,,1.0000,0,1.0000,5.0000,6
2023-02-20,2.0000,,5.0000,2.0000,0,9.0000,12.0000,21
2023-02-21,,,7.0000,,0,7.0000,3.0000,10
2023-02-22,,,5.0000,1.0000,0,6.0000,9.0000,15
2023-02-23,,,7.0000,,0,7.0000,3.0000,10
2023-02-24,,,4.0000,1.0000,0,5.0000,0.0000,5
2023-02-26,,,,1.0000,0,1.0000,6.0000,7
2023-02-27,,,7.0000,,0,7.0000,4.0000,11
2023-02-28,,,6.0000,1.0000,0,7.0000,3.0000,10
2023-03-01,,,7.0000,,0,7.0000,2.0000,9
2023-03-02,1.0000,,3.0000,2.0000,0,6.0000,14.0000,20
2023-03-03,,,5.0000,,0,5.0000,0.0000,5
2023-03-06,,,5.0000,1.0000,0,6.0000,2.0000,8
2023-03-07,2.0000,,,4.0000,0,6.0000,13.0000,19
2023-03-08,,,4.0000,2.0000,0,6.0000,17.0000,23
2023-03-09,1.0000,,3.0000,3.0000,0,7.0000,1.0000,8
2023-03-10,,,5.0000,,0,5.0000,0.0000,5
2023-03-12,,,,1.0000,0,1.0000,2.0000,3
2023-03-13,,,1.0000,3.0000,0,4.0000,0.0000,4
2023-03-14,1.0000,,2.0000,3.0000,0,6.0000,12.0000,18
2023-03-15,3.0000,,5.0000,1.0000,0,9.0000,7.0000,16
2023-03-16,,,5.0000,1.0000,0,6.0000,0.0000,6
2023-03-17,,,5.0000,,0,5.0000,0.0000,5
2023-03-19,,,1.0000,,0,1.0000,0.0000,1
2023-03-20,,,6.0000,1.0000,0,7.0000,1.0000,8
2023-03-21,,,7.0000,,0,7.0000,4.0000,11
2023-03-22,,,6.0000,1.0000,0,7.0000,5.0000,12
2023-03-23,,,4.0000,,0,4.0000,0.0000,4
2023-03-24,,,2.0000,2.0000,0,4.0000,0.0000,4
2023-03-26,,,1.0000,,0,1.0000,10.0000,11
2023-03-27,1.0000,,3.0000,2.0000,0,6.0000,10.0000,16
2023-03-28,,,6.0000,1.0000,0,7.0000,5.0000,12
